Neighborhood,Latitude,Longitude
ZRHd1_1,47.373055,8.538622
ZRHd1_2,47.371060,8.546883
ZRHd2_1,47.362536,8.531325
ZRHd2_2,47.355346,8.530505
ZRHd2_3,47.346413,8.528994
ZRHd2_4,47.338398,8.531827
ZRHd3_1,47.369357,8.519093
ZRHd3_2,47.362975,8.517507
ZRHd3_3,47.367453,8.506836
ZRHd3_4,47.374435,8.509835
ZRHd4_1,47.375985,8.527465
ZRHd4_2,47.380218,8.514601
ZRHd5_1,47.384446,8.530665
ZRHd5_2,47.388422,8.520878
ZRHd5_3,47.391177,8.511289
ZRHd6_1,47.381567,8.546769
ZRHd6_2,47.386617,8.540370
ZRHd6_3,47.386942,8.550189
ZRHd6_4,47.394008,8.539962
ZRHd6_5,47.400673,8.535893
ZRHd7_1,47.358830,8.589952
ZRHd7_2,47.365023,8.564416
ZRHd7_3,47.369526,8.555543
ZRHd7_4,47.377577,8.557842
ZRHd8_1,47.361644,8.551567
ZRHd8_2,47.356043,8.555821
ZRHd8_3,47.350862,8.563894
ZRHd8_4,47.352356,8.574684
ZRHd9_1,47.373830,8.494644
ZRHd9_2,47.383398,8.497749
ZRHd9_3,47.381534,8.485042
ZRHd9_4,47.389787,8.481952
ZRHd9_5,47.394815,8.490125
ZRHd10_1,47.393160,8.529010
ZRHd10_2,47.397340,8.513729
ZRHd10_3,47.402125,8.498570
ZRHd10_4,47.407262,8.488645
ZRHd10_5,47.408824,8.507229
ZRHd11_1,47.406606,8.548580
ZRHd11_2,47.414197,8.551506
ZRHd11_3,47.423918,8.546135
ZRHd11_4,47.415105,8.535854
ZRHd11_5,47.420329,8.506675
ZRHd12_1,47.408017,8.568017
Zollikon,47.339297,8.574556
Kusnacht,47.319856,8.584222
Kilchberg,47.325200,8.543901
Ruschlikon,47.310434,8.550874
South Ken,51.494780,-0.179104
Greenwich,40.733301,-74.003011
West Loop,41.886675,-87.656497
